区市町名,町丁目名,地盤分類,建物倒壊危険度ランク,火災危険度ランク,総合危険度ランク,緯度,経度,最寄駅,路線
千代田区,神田北乗物町,沖積低地2,4,1,2,35.692455,139.773895,神田<br>神田<br>神田<br>神田<br>岩本町<br>新日本橋,東京メトロ銀座線<br>JR中央線<br>JR京浜東北線<br>JR山手線<br>都営新宿線<br>JR総武線快速
千代田区,神田紺屋町,沖積低地2,3,2,2,35.69202,139.774231,神田<br>神田<br>神田<br>神田<br>新日本橋<br>小伝馬町,JR山手線<br>JR中央線<br>JR京浜東北線<br>東京メトロ銀座線<br>JR総武線快速<br>東京メトロ日比谷線
千代田区,神田佐久間河岸,沖積低地3,2,1,1,35.697048,139.777802,岩本町<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>馬喰町,都営新宿線<br>東京メトロ日比谷線<br>つくばエクスプレス線<br>JR総武線<br>JR山手線<br>JR京浜東北線<br>JR総武線快速
千代田区,神田佐久間町１丁目,沖積低地2,2,1,1,35.697979,139.774216,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>岩本町<br>神田,つくばエクスプレス線<br>JR山手線<br>JR京浜東北線<br>JR総武線<br>東京メトロ日比谷線<br>都営新宿線<br>東京メトロ銀座線
千代田区,神田佐久間町２丁目,沖積低地2,3,2,2,35.698009,139.776367,秋葉原<br>秋葉原<br>岩本町<br>秋葉原<br>秋葉原<br>秋葉原<br>末広町,東京メトロ日比谷線<br>つくばエクスプレス線<br>都営新宿線<br>JR総武線<br>JR山手線<br>JR京浜東北線<br>東京メトロ銀座線
千代田区,神田佐久間町３丁目,沖積低地3,3,2,3,35.697983,139.777939,秋葉原<br>岩本町<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>浅草橋,東京メトロ日比谷線<br>都営新宿線<br>つくばエクスプレス線<br>JR総武線<br>JR京浜東北線<br>JR山手線<br>JR総武線
千代田区,神田佐久間町４丁目,沖積低地2,3,1,2,35.697659,139.779831,秋葉原<br>浅草橋<br>岩本町<br>秋葉原,東京メトロ日比谷線<br>JR総武線<br>都営新宿線<br>つくばエクスプレス線
千代田区,神田神保町１丁目,谷底低地3,3,1,2,35.696491,139.759079,神保町<br>神保町<br>神保町<br>御茶ノ水<br>御茶ノ水<br>御茶ノ水<br>新御茶ノ水,都営三田線<br>東京メトロ半蔵門線<br>都営新宿線<br>JR総武線<br>JR中央線<br>東京メトロ丸ノ内線<br>東京メトロ千代田線
千代田区,神田神保町２丁目,谷底低地3,3,1,2,35.696636,139.756454,神保町<br>神保町<br>神保町<br>九段下<br>九段下<br>九段下<br>水道橋<br>水道橋,都営新宿線<br>東京メトロ半蔵門線<br>都営三田線<br>東京メトロ東西線<br>都営新宿線<br>東京メトロ半蔵門線<br>JR総武線<br>JR中央線
千代田区,神田神保町３丁目,谷底低地3,2,1,1,35.695366,139.754272,九段下<br>九段下<br>九段下<br>神保町<br>神保町<br>神保町<br>竹橋,東京メトロ東西線<br>東京メトロ半蔵門線<br>都営新宿線<br>都営新宿線<br>東京メトロ半蔵門線<br>都営三田線<br>東京メトロ東西線
